,2025-01-01,2025-01-02,2025-01-03,2025-01-04,2025-01-05,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-11,2025-01-12
v0.0,63,62,61,62,62,61,62,62,58,58,57,56
v0.1,15,16,16,16,16,17,17,17,17,17,17,17
v0.3,64,63,63,63,62,62,62,62,62,62,58,58
v0.4,86,88,87,91,91,92,95,94,96,93,93,92
v0.5,8,8,8,,8,8,16,16,,9,9,9
v0.6,148,143,144,145,145,139,141,148,146,153,153,147
v0.7,49,50,48,39,47,48,48,48,43,42,51,50
v1.2,31,31,30,31,32,32,32,32,32,33,33,33
v1.5,9,9,9,10,10,10,10,10,10,10,10,10
v1.6,10,9,9,,,,9,9,,,10,10
v1.9,11,11,11,11,11,11,11,11,11,11,11,11
v1.10,27,27,27,19,27,27,27,27,19,19,27,27
v1.11,178,174,176,174,176,181,182,177,177,179,182,177
v1.12,47,46,46,47,47,47,47,47,48,48,48,48
v1.13,51,51,51,51,51,50,49,50,50,49,50,50
v1.14,462,462,460,455,463,455,455,457,443,445,460,461
v1.15,241,240,241,240,240,239,239,238,238,228,229,229
v1.16,1586,1573,1566,1563,1562,1559,1558,1551,1532,1539,1539,1529
v1.17,199,198,197,173,172,192,196,187,180,180,198,197
v1.18,2597,2593,2592,2586,2581,2580,2570,2572,2560,2556,2554,2553
v1.19,790,786,805,781,775,772,791,794,781,769,759,735
v1.20,3531,3526,3514,3499,3475,3438,3421,3406,3404,3396,3374,3370
v1.21,1934,1929,1933,1909,1897,1896,1895,1893,1888,1856,1860,1854
v1.22,5175,5180,5183,5158,5137,5168,5193,5205,5182,5205,5204,5189
v1.23,4861,4860,4844,4817,4753,4729,4734,4740,4774,4808,4749,4710
v1.24,67443,68208,67779,66855,65129,61740,62160,62092,62799,64127,64761,64475
v1.25,41012,41085,41064,40874,40587,39339,39772,39376,40016,40545,40530,40391
v1.26,42329,41695,41273,41063,41055,40583,41034,40414,41103,41548,40840,40423
v1.27,75365,74736,74524,74552,74287,72498,73798,73333,74767,76139,74752,74281
v1.28,95307,94128,93245,91544,90718,89214,90338,88628,89400,89200,86152,84528
v1.29,267585,270218,270041,264078,257451,253779,257260,256063,260717,264423,263757,262602
v1.30,938726,932759,936889,935309,932300,921346,942606,940227,961611,970206,958086,959393
v1.31,190633,185252,184118,181962,183607,182371,191719,189730,200568,206240,201242,202077
v1.32,12291,11099,10977,10755,11517,12101,14951,15654,18473,18691,15931,15067
v1.33,220,223,234,165,200,237,278,211,210,198,156,162
v2.1,10,10,10,,,,,,,,,
